`id`,`district_id`,name_en,latitude,longitude
371,5,Siyambalagoda,6.800041,79.966845
372,5,Sri Jayawardenepu,6.8897,79.9359
373,5,Talawatugoda,6.8692,79.9411
374,5,Tummodara,6.9061,80.1353
375,5,Waga,6.9061,80.1353
376,5,Colombo 6,6.874657,79.860483
377,6,Agaliya,6.1833,80.2
378,6,Ahangama,5.970765,80.370204
379,6,Ahungalla,6.315216,80.03029
380,6,Akmeemana,6.1845,80.3032
381,6,Alawatugoda,6.4167,80
382,6,Aluthwala,6.180801,80.136538
383,6,Ampegama,6.193907,80.14453
384,6,Amugoda,6.314635,80.22104
385,6,Anangoda,6.0722,80.2389
386,6,Angulugaha,6.036963,80.322148
387,6,Ankokkawala,6.05329,80.274014
388,6,Aselapura,6.3167,80.0333
389,6,Baddegama,6.165975,80.201841
390,6,Balapitiya,6.269254,80.036054
391,6,Banagala,6.2706,80.42
392,6,Batapola,6.235697,80.120034
393,6,Bentota,6.4211,79.9989
394,6,Boossa,6.2233,80.2
395,6,Dellawa,6.335012,80.452741
396,6,Dikkumbura,6.012945,80.376153
397,6,Dodanduwa,6.0967,80.1456
398,6,Ella Tanabaddegama,6.2922,80.1988
399,6,Elpitiya,6.300214,80.171923
400,6,Galle,6.0536,80.2117
401,6,Ginimellagaha,6.2233,80.2
402,6,Gintota,6.0564,80.1839
403,6,Godahena,6.2333,80.0667
404,6,Gonamulla Junction,6.0667,80.3
405,6,Gonapinuwala,6.2233,80.2
406,6,Habaraduwa,6.0043,80.326
407,6,Haburugala,6.4052,80.038306
408,6,Hikkaduwa,6.139535,80.113201
409,6,Hiniduma,6.316028,80.328888
410,6,Hiyare,6.079898,80.317871
411,6,Kahaduwa,6.2244,80.21
412,6,Kahawa,6.185429,80.07601
413,6,Karagoda,6.084182,80.395041
414,6,Karandeniya,6.260467,80.072462
415,6,Kosgoda,6.332288,80.028315
416,6,Kottawagama,6.1375,80.3419
417,6,Kottegoda,6.1667,80.1
418,6,Kuleegoda,6.2167,80.1167
419,6,Magedara,6.108129,80.393927
420,6,Mahawela Sinhapura,6.3167,80.0333
421,6,Mapalagama,6.234713,80.27784
422,6,Mapalagama Central,6.2167,80.3
423,6,Mattaka,6.302366,80.254218
424,6,Meda-Keembiya,6.1845,80.3032
425,6,Meetiyagoda,6.189135,80.093504
426,6,Nagoda,6.201296,80.277829
427,6,Nakiyadeniya,6.143029,80.338164
428,6,Nawadagala,6.304655,80.134175
429,6,Neluwa,6.37393,80.363267
430,6,Nindana,6.207731,80.107663
431,6,Pahala Millawa,6.293995,80.475431
432,6,Panangala,6.274182,80.334525
433,6,Pannimulla Panagoda,6.36,80.3653
434,6,Parana ThanaYamgoda,6.2167,80.3
435,6,Patana,6.1333,80.1167
436,6,Pitigala,6.348894,80.217851
437,6,Poddala,6.1167,80.2167
438,6,Polgampola,6.3244,80.4383
439,6,Porawagama,6.279568,80.231811
440,6,Rantotuwila,6.3833,80.0833
441,6,Talagampola,6.0667,80.3
442,6,Talgaspe,6.3,80.2
443,6,Talpe,6.0061,80.2961
444,6,Tawalama,6.3333,80.3333
445,6,Tiranagama,6.1333,80.1167
446,6,Udalamatta,6.18924,80.306106
447,6,Udugama,6.188469,80.338951
448,6,Uluvitike,6.3056,80.309
449,6,Unawatuna,6.0169,80.249901
450,6,Unenwitiya,6.2417,80.225
451,6,Uragaha,6.35,80.1167
452,6,Uragasmanhandiya,6.358461,80.082277
453,6,Wakwella,6.1,80.1833
454,6,Walahanduwa,6.05443,80.251763
455,6,Wanchawela,6.0333,80.3167
456,6,Wanduramba,6.136388,80.252794
457,6,Warukandeniya,6.381574,80.43131
458,6,Watugedara,6.25,80.05
459,6,Weihena,6.310127,80.23392
460,6,Welikanda,6.3167,80.0333
461,6,Wilanagama,6.4167,80
462,6,Yakkalamulla,6.109027,80.349195
463,6,Yatalamatta,6.172247,80.293052
464,7,Akaragama,7.262603,79.958057
465,7,Ambagaspitiya,7.0833,80.0667
466,7,Ambepussa,7.25,80.1667
467,7,Andiambalama,7.188346,79.902344
468,7,Attanagalla,7.1119,80.1328
469,7,Badalgama,7.291218,79.978003
470,7,Banduragoda,7.2319,80.0678
471,7,Batuwatta,7.058399,79.932048
472,7,Bemmulla,7.120933,80.028191
473,7,Biyagama IPZ,6.9492,80.0153
474,7,Bokalagama,7.2333,80.15
475,7,Bollete (WP),7.0667,79.95
476,7,Bopagama,7.079641,80.15868
477,7,Buthpitiya,7.042846,80.051854
478,7,Dagonna,7.221568,79.927455
479,7,Danowita,7.2028,80.1758
